地域名,時点,年齢区分,人口（男性）【人】,注記,人口（女性）【人】,注記,人口（男女計）【人】,注記
全国（日本）,1960年,85～89歳,48193,沖縄県の85歳以上を除く。,107620,沖縄県の85歳以上を除く。,155813,
全国（日本）,1960年,80～84歳,170599,,317064,,487663,
全国（日本）,1960年,75～79歳,379767,,583630,,963397,
全国（日本）,1960年,70～74歳,698672,,878355,,1577027,
全国（日本）,1960年,65～69歳,1035042,,1144248,,2179290,
全国（日本）,1960年,60～64歳,1446757,,1506251,,2953008,
全国（日本）,1960年,55～59歳,1813371,,1854005,,3667376,
全国（日本）,1960年,50～54歳,2053737,,2177467,,4231204,
全国（日本）,1960年,45～49歳,2271959,,2578854,,4850813,
全国（日本）,1960年,40～44歳,2291120,,2766827,,5057947,
全国（日本）,1960年,35～39歳,2782870,,3300265,,6083135,
全国（日本）,1960年,30～34歳,3774040,,3801653,,7575693,
全国（日本）,1960年,25～29歳,4129166,,4150358,,8279524,
全国（日本）,1960年,20～24歳,4160096,,4230886,,8390982,
全国（日本）,1960年,15～19歳,4713854,,4665819,,9379673,
全国（日本）,1960年,10～14歳,5677909,,5452281,,11130190,
全国（日本）,1960年,5～9歳,4770578,,4568563,,9339141,
全国（日本）,1960年,0～4歳,4073749,,3891079,,7964828,
全国（日本）,1960年,総数,46300445,総務省統計局「国勢調査」による。,48001178,総務省統計局「国勢調査」による。,94301623,
全国（日本）,1965年,100歳以上,40,,179,,219,
全国（日本）,1965年,95～99歳,862,,3139,,4001,
全国（日本）,1965年,90～94歳,13026,,34479,,47505,
全国（日本）,1965年,85～89歳,60837,,140917,,201754,
全国（日本）,1965年,80～84歳,188750,,345164,,533914,
全国（日本）,1965年,75～79歳,455411,,650726,,1106137,
全国（日本）,1965年,70～74歳,795372,,965246,,1760618,
全国（日本）,1965年,65～69歳,1226741,,1354725,,2581466,
全国（日本）,1965年,60～64歳,1635046,,1733582,,3368628,
全国（日本）,1965年,55～59歳,1942543,,2087591,,4030134,
全国（日本）,1965年,50～54歳,2187487,,2503984,,4691471,
全国（日本）,1965年,45～49歳,2240740,,2718592,,4959332,
